,Cluster,SITE,STATION,PREFIX,PAIRED,CHANNEL,TYPE,UTM_ZONE,EASTING,NORTHING,Ellipsoidal_Ht,Ortho_Ht,NOTES,array_folder_name,point_folder_name
34,3,7,35,SBT-03-07-35,SBT-03-07-30,1,EXTMIC,12,455211.993,6080383.66,636.8283,660.0673,,SBT-3-7,SBT-3-7-35
35,3,7,36,SBT-03-07-36,SBT-03-07-37,0,ARU,12,455077.6287,6080355.216,629.1891,652.4281,,SBT-3-7,SBT-3-7-36
36,3,7,37,SBT-03-07-37,SBT-03-07-36,1,EXTMIC,12,455112.5971,6080349.096,640.3203,663.5593,,SBT-3-7,SBT-3-7-37
37,3,7,38,SBT-03-07-38,SBT-03-07-39,0,ARU,12,455144.6011,6080342.009,635.0033,658.2423,,SBT-3-7,SBT-3-7-38
38,3,7,39,SBT-03-07-39,SBT-3-07-38,1,EXTMIC,12,455174.155,6080345.207,631.3753,654.6143,,SBT-3-7,SBT-3-7-39
39,3,7,40,SBT-03-07-40,,0,ARU,12,455212.717,6080347.683,632.3123,655.5513,,SBT-3-7,SBT-3-7-40
40,3,7,41,SBT-03-07-41,SBT-03-07-25,1,EXTMIC,12,455074.1016,6080311.215,641.1841,664.4231,,SBT-3-7,SBT-3-7-41
41,3,7,42,SBT-03-07-42,SBT-03-07-43,1,EXTMIC,12,455112.8172,6080313.392,635.4095,658.6485,,SBT-3-7,SBT-3-7-42
42,3,7,43,SBT-03-07-43,SBT-03-07-42,0,ARU,12,455147.9112,6080313.736,640.7934,664.0324,,SBT-3-7,SBT-3-7-43
43,3,7,44,SBT-03-07-44,,0,ARU,12,455174.1151,6080315.048,637.1963,660.4353,,SBT-3-7,SBT-3-7-44
44,3,7,45,SBT-03-07-45,SBT-03-07-50,0,ARU,12,455212.1041,6080314.145,634.2195,657.4585,,SBT-3-7,SBT-3-7-45
45,3,7,46,SBT-03-07-46,SBT-03-07-47,0,ARU,12,455072.9528,6080285.797,639.2343,662.4733,,SBT-3-7,SBT-3-7-46
46,3,7,47,SBT-03-07-47,SBT-03-07-46,1,EXTMIC,12,455104.1021,6080282.692,638.3715,661.6105,,SBT-3-7,SBT-3-7-47
47,3,7,48,SBT-03-07-48,SBT-03-07-49,1,EXTMIC,12,455145.3416,6080277.66,642.3772,665.6162,,SBT-3-7,SBT-3-7-48
48,3,7,49,SBT-03-07-49,SBT-03-07-48,0,ARU,12,455175.1181,6080276.899,642.1765,665.4155,,SBT-3-7,SBT-3-7-49
